#wave,Ion,Ei (eV),Ek (eV),Configurations,Terms,Ji - Jk,Type  (if not E1),Creation IP (eV),Observation References,Type,physical_basis,intrinsic_ratio,is_doublet,doublet_id,doublet_member
8703.247,N I,10.326,11.75,2s22p2(3P)3s - 2s22p2(3P)3p,4P - 4D0,1/2 - 1/2,E1,0,O90,-,-,-,FALSE,-,-
8711.703,N I,10.33,11.753,2s22p2(3P)3s - 2s22p2(3P)3p,4P - 4D0,3/2 - 3/2,E1,0,O90,-,-,-,FALSE,-,-
8750.472,Pa12,12.088,13.504,3 - 12,-,-,E1,0,O90,-,-,-,FALSE,-,-
8862.782,Pa11,12.088,13.486,3 - 11,-,-,E1,0,O90,-,-,-,FALSE,-,-
8891.91,[Fe II],0.301,1.695,3p63d7 - 3p63d7,a 4F - a 4P,7/2 - 3/2,E2,7.87,O90,-,-,-,FALSE,-,-
9014.909,Pa10,12.088,13.462,3 - 10,-,-,E1,0,O90,-,-,-,FALSE,-,-
9068.6,[S III],0.037,1.404,3s23p2 - 3s23p2,3P - 1D,1 - 2,M1,23.33,OF96,-,-,-,FALSE,-,-
9229.014,Pa9,12.088,13.431,3 - 9,-,-,E1,0,O90,-,-,-,FALSE,-,-
9530.6,[S III],0.103,1.404,3s23p2 - 3s23p2,3P - 1D,2 - 2,M1,23.33,-,-,-,-,FALSE,-,-
9545.969,Paε,12.088,13.386,3 - 8,-,-,E1,0,O90,-,-,-,FALSE,-,-
9824.13,[C I],0.002,1.264,2s22p2 - 2s22p2,3P - 1D,1 - 2,M1,0,OF96,-,-,-,FALSE,-,-
9850.26,[C I],0.005,1.264,2s22p2 - 2s22p2,3P - 1D,2 - 2,M1,0,OF96,-,-,-,FALSE,-,-
9913,[S VIII],0,1.25,2s22p5 - 2s22p5,2P0 - 2P0,3/2 - 1/2,M1,280.93,OF96,-,-,-,FALSE,-,-
10027.73,He I,23.074,24.31,1s3d - 1s7f,3D - 3F0,-,E1,0,OF96,-,-,-,FALSE,-,-
10031.16,He I,23.074,24.31,1s3d - 1s7f,1D - 1F0,2 - 3,E1,0,O90,-,-,-,FALSE,-,-
10049.368,Paδ,12.088,13.321,3 - 7,-,-,E1,0,O90,-,-,-,FALSE,-,-
10286.73,[S II],1.842,3.046,3s23p3 - 3s23p3,2D0 - 2P0,4 - 4,M1,10.36,OF96,-,-,-,FALSE,-,-
10320.49,[S II],1.845,3.046,3s23p3 - 3s23p3,2D0 - 2P0,6 - 4,M1,10.36,OF96,-,-,-,FALSE,-,-
10336.41,[S II],1.842,3.041,3s23p3 - 3s23p3,2D0 - 2P0,4 - 2,M1,10.36,O90,-,-,-,FALSE,-,-
10746.8,[Fe XIII],0,1.153,3s23p2 - 3s23p2,3P - 3P,0 - 1,M1,330.8,-,-,-,-,FALSE,-,-
10830.34,He I,19.82,20.964,1s2s - 1s2p,3S - 3P0,1 - 2,E1,0,OF96,-,-,-,FALSE,-,-
10938.086,Paγ,12.088,13.221,3 - 6,-,-,E1,0,O90,-,-,-,FALSE,-,-
