#wave,Ion,Ei (eV),Ek (eV),Configurations,Terms,Ji - Jk,Type  (if not E1),Creation IP (eV),Observation References,Type,physical_basis,intrinsic_ratio,is_doublet,doublet_id,doublet_member
4651.47,C III,29.535,32.199,1s22s3s - 1s22s3p,3S - 3P0,1 - 0,E1,24.38,S99,-,-,-,FALSE,-,-
4658.05,[Fe III],0,2.661,3d6 - 3d6,5D-3F2,45751,M1,16.18,S99,-,-,-,FALSE,-,-
4685.71,He II,48.371,51.017,-,-,-,E1,54.42,-,-,-,-,FALSE,-,-
4701.62,[Fe III],-,-,-,-,-,-,-,-,-,-,-,FALSE,-,-
4711.26,[Ar IV],0,2.631,3s23p3 - 3s23p3,4S0 - 2D0,3/2-5/2,M1,40.74,-,-,-,-,FALSE,-,-
4740.12,[Ar IV],0,2.615,3s23p3 - 3s23p3,4S0 - 2D0,3/2-3/2,M1,40.74,-,-,-,-,FALSE,-,-
4861.333,Hβ,10.199,12.749,2 - 4,-,-,E1,0,-,-,-,-,FALSE,-,-
4881.111,[Fe III],0,20.481,4 - 4,-,-,-,0,-,-,-,-,FALSE,-,-
4893.37,[Fe VII],0,2.533,3p63d2 - 3p63d2,3F-3P,45689,M1,99,R11,-,-,-,FALSE,-,-
4903.07,[Fe IV],4.005,6.533,3d5 - 3d5,4G-4F,7/2-7/2,M1,30.65,R11,-,-,-,FALSE,-,-
4923.927,Fe II,2.891,5.408,3d54s2 - 3d6(5D)4p,a6S - z6P0,5/2-3/2,E1,7.87,OP85,-,-,-,FALSE,-,-
4958.911,[O III],0.014,2.514,2s22p2 - 2s22p2,3P-1D,45659,M1,35.12,-,forbidden,A-value,1,TRUE,[O III]|2s22p2 - 2s22p2|3P-1D,1
5006.843,[O III],0.038,2.514,2s22p2 - 2s22p2,3P-1D,45690,M1,35.12,-,forbidden,A-value,2.98,TRUE,[O III]|2s22p2 - 2s22p2|3P-1D,2
5018.44,Fe II,2.891,5.361,3d54s2 - 3d6(5D)4p,a6S - z6P0,5/2-5/2,E1,7.87,OP85,-,-,-,FALSE,-,-
5084.77,[Fe III],0.127,2.565,3d6 - 3d6,5D - 3P2,0 - 1,M1,16.18,I01,-,-,-,FALSE,-,-
5145.75,[Fe VI],0.147,2.556,3d3 - 3d3,4F-2G,7/2-7/2,M1,75,R11,-,-,-,FALSE,-,-
5158.89,[Fe VII],0.131,2.533,3p63d2 - 3p63d2,3F-3P,45717,E2,99,R11,-,-,-,FALSE,-,-
5169.033,Fe II,2.891,5.289,3d54s2 - 3d6(5D)4p,a 6S - z 6P0,5/2 - 7/2,E1,7.87,OP85,-,-,-,FALSE,-,-
5176.04,[Fe VI],0.248,2.643,3d3 - 3d3,4F-2G,9/2-9/2,M1,75,R11,-,-,-,FALSE,-,-
5191.8,[Ar III],-,-,-,-,-,-,-,-,-,-,-,FALSE,-,-
5197.577,Fe II,3.23,5.615,3d6(3G)4s - 3d6(5D)4p,a 4G - z 4F0,5/2 - 3/2,E1,7.87,OP85,-,-,-,FALSE,-,-
5200.257,[N I],0,2.384,2s22p3 - 2s22p3,4S0 - 2D0,3/2-5/2,M1,0,-,-,-,-,FALSE,-,-
5234.625,Fe II,3.221,5.589,3d6(3G)4s - 3d6(5D)4p,a 4G - z 4F0,7/2 - 5/2,E1,7.87,OP85,-,-,-,FALSE,-,-
5236.06,[Fe IV],4.005,6.372,3d5 - 3d5,4G-2F2,5/2-7/2,M1,30.65,R11,-,-,-,FALSE,-,-
5270.4,[Fe III],0.054,2.406,3d6 - 3d6,5D - 3P2,3 - 2,M1,16.18,I04,-,-,-,FALSE,-,-
5276.002,Fe II,3.199,5.549,3d6(3G)4s - 3d6(5D)4p,a 4G - z 4F0,9/2 - 7/2,E1,7.87,OP85,-,-,-,FALSE,-,-
5276.38,[Fe VII],0.289,2.638,3p63d2 - 3p63d2,3F-3P,45749,E2,99,R11,-,-,-,FALSE,-,-
5302.86,[Fe XIV],0,2.337,3s23p - 3s23p,2P0 - 2P0,1/2-3/2,M1,361,FO87_ K08,-,-,-,FALSE,-,-
5309.11,[Ca V],0,2.335,3s23p4 - 3s23p4,3P-1D,45690,M1,67.1,R11,-,-,-,FALSE,-,-
5316.615,Fe II,3.153,5.484,3d6(3G)4s - 3d6(5D)4p,a 4G - z 4F0,11/2 - 9/2,E1,7.87,OP85,-,-,-,FALSE,-,-
5316.784,Fe II,3.221,5.553,3d6(3G)4s - 3d6(5D)4p,a 4G - z 4D0,7/2 - 5/2,E1,7.87,OP85,-,-,-,FALSE,-,-
5335.18,[Fe VI],0,2.323,3d3 - 3d3,4F-4P,3/2-1/2,M1,75,R11,-,-,-,FALSE,-,-
5424.22,[Fe VI],0.063,2.349,3d3 - 3d3,4F - 4P,5/2-3/2,M1,75,R11,-,-,-,FALSE,-,-
5517.709,[Cl III],0,2.246,3s23p3 - 3s23p3,4S0 - 2D0,3/2 - 5/2,M1,23.81,I04_ T00,-,-,-,FALSE,-,-
5537.873,[Cl III],0,2.238,3s23p3 - 3s23p3,4S0 - 2D0,3/2 - 3/2,M1,23.81,I04_ T00,-,-,-,FALSE,-,-
5637.6,[Fe VI],3.532,5.73,3d3 - 3d3,2D2 - 2F,5/2 - 7/2,M1,75,I01,-,-,-,FALSE,-,-
5677,[Fe VI],0.248,2.431,3d3 - 3d3,4F - 4P,9/2 - 5/2,E2,75,I01,-,-,-,FALSE,-,-
5695.92,C III,32.103,34.28,1s22s3p - 1s22s3d,1P0 - 1D,1 - 2,E1,24.38,S99,-,-,-,FALSE,-,-
5720.7,[Fe VII],0,2.167,3p63d2 - 3p63d2,3F - 1D,45690,M1,99,FO87_ R11,-,-,-,FALSE,-,-
5754.59,[N II],1.899,4.053,2s22p2 - 2s22p2,1D - 1S,2 - 0,E2,14.53,T00,-,-,-,FALSE,-,-
5801.33,C IV,37.549,39.685,1s23s - 1s23p,2S - 2P0,1/2 - 3/2,E1,47.89,S99,resonance,f-value,1,TRUE,C IV|1s23s - 1s23p|2S - 2P0,1
5811.98,C IV,37.549,39.681,1s23s - 1s23p,2S - 2P0,1/2 - 1/2,E1,47.89,S99,resonance,f-value,1,TRUE,C IV|1s23s - 1s23p|2S - 2P0,2
5875.624,He I,20.964,23.073,1s2p - 1s3d,3P0 - 3D,-,E1,0,-,-,-,-,FALSE,-,-
6046.44,O I,10.989,13.039,2s22p3(4S0)3p - 2s22p3(4S0)6s,3P - 3S0,2 - 1,E1,0,I01,-,-,-,FALSE,-,-
6087,[Fe VII],0.13,2.167,3p63d2 - 3p63d2,3F - 1D,45718,M1,99,FO87_ R11,-,-,-,FALSE,-,-
6300.304,[O I],0,1.967,2s22p4 - 2s22p4,3P - 1D,45690,M1,,-,forbidden,A-value,1,TRUE,[O I]|2s22p4 - 2s22p4|3P - 1D,1
6312.06,[S III],1.404,3.368,3s23p2 - 3s23p2,1D - 1S,2-0,E2,23.33,R11,-,-,-,FALSE,-,-
6347.1,Si II,8.121,10.074,3s24s - 3s24p,2S - 2P0,1/2 - 3/2,E1,8.15,I04,-,-,-,FALSE,-,-
6363.776,[O I],0.02,1.967,2s22p4 - 2s22p4,3P - 1D,45659,M1,0,-,forbidden,A-value,0.3333333333,TRUE,[O I]|2s22p4 - 2s22p4|3P - 1D,2
6369.462,Fe II,2.891,4.837,3d54s2 - 3d6(5D)4p,a 6S - z 6D0,5/2 - 3/2,E1,7.87,OP85,-,-,-,FALSE,-,-
6374.51,[Fe X],0,1.944,3s23p5 - 3s23p5,2P0 - 2P0,3/2-1/2,M1,235.04,FO87_ R11_ K08,-,-,-,FALSE,-,-
6516.081,Fe II,2.891,4.793,3d54s2 - 3d6(5D)4p,a 6S - z 6D0,5/2 - 7/2,E1,7.87,OP85,-,-,-,FALSE,-,-
6548.05,[N II],0.006,1.899,2s22p2 - 2s22p2,3P-1D,45659,M1,14.53,-,forbidden,A-value,1,TRUE,[N II]|2s22p2 - 2s22p2|3P-1D,1
6562.819,Hα,10.199,12.088,2 - 3,-,-,E1,0,-,-,-,-,FALSE,-,-
6583.46,[N II],0.016,1.899,2s22p2 - 2s22p2,3P-1D,45690,M1,14.53,-,forbidden,A-value,3,TRUE,[N II]|2s22p2 - 2s22p2|3P-1D,2
6678.15,He I,-,-,-,-,-,E1,,-,-,-,-,FALSE,-,-
