name,ion,rest_wavelength_angstrom,oscillator_strength,damping_constant_s,atomic_mass_amu,q_coefficient_cminv,group,reference
C13I**_1158,C13I**,1158.01880,0.0157,55600000.0,13.0,,C13I**,M03
C13I_1157,C13I,1157.90970,0.0212,35100000.0,,,C13I,M03-16u
C13I*_1156,C13I*,1156.76970,0.00878,26200000.0,,,C13I*,M03
C13I**_1156,C13I**,1156.56030,0.00539,26900000.0,13.0,,C13I**,M03
C13I**_1156,C13I**,1156.38950,0.00181,15100000.0,13.0,,C13I**,M03
C13I*_1156,C13I*,1156.19920,0.000799,2390000.0,,,C13I*,M03
C13I*_1156,C13I*,1156.02860,0.00227,11300000.0,,,C13I*,M03
C13I*_1155,C13I*,1155.97930,0.0025,37400000.0,,,C13I*,M03
C13I_1155,C13I,1155.80920,0.00492,8190000.0,,,C13I,M03-19u
C13I**_1140,C13I**,1140.64150,0.00172,6280000.0,13.0,,C13I**,M03
C13I*_1140,C13I*,1140.35760,0.00207,6380000.0,,,C13I*,M03-21u
C13I**_1140,C13I**,1140.11670,0.00358,18400000.0,13.0,,C13I**,M03
C13I_1140,C13I,1140.00960,0.00356,6090000.0,,,C13I,M03-21.01
C13I*_1140,C13I*,1140.00530,0.00184,9440000.0,,,C13I*,M03
C13I**_1139,C13I**,1139.86510,0.000252,1300000.0,13.0,,C13I**,M03
C13I**_1139,C13I**,1139.81210,0.00806,29600000.0,13.0,,C13I**,M03
C13I_1139,C13I,1139.79190,0.0123,21000000.0,,,C13I,M03-22u
C13I*_1139,C13I*,1139.76590,0.0015,4620000.0,,,C13I*,M03
C13I*_1139,C13I*,1139.51450,0.00881,27200000.0,,,C13I*,M03
C13I*_1139,C13I*,1139.29980,0.00121,6240000.0,,,C13I*,^
C13I_1139,C13I,1139.08670,0.000542,929000.0,,,C13I,| 13C=12C to here FIX WHEN KNOWN
C13II_1334,C13II,1334.51740,0.1278,288000000.0,,-3.35,C13II,km/s Berengut05
C13II*_1335,C13II*,1335.69280,0.115,288000000.0,,,C13II*,M03 g Elow=63.42 cm^{-1} -3.35km/s
C13II*_1335,C13II*,1335.64780,0.01277,288000000.0,,,C13II*,M03 g -3.35 km/s
C13II_1036,C13II,1036.33000,0.118,2200000000.0,,,C13II,M03 g -1.94 km/s
C13II*_1037,C13II*,1037.01150,0.118,2200000000.0,,,C13II*,M03 g -1.94 km/s
MgIa_2852,MgIa,2852.96342,1.83,500000000.0,24.3,,MgIa,Salumbides06 24Mg mass taken as 24.3
MgIb_2852,MgIb,2852.96141,1.83,500000000.0,,,MgIb,Salumbides06 25Mg
MgIc_2852,MgIc,2852.95959,1.83,500000000.0,,,MgIc,Salumbides06 26Mg
MgIIa_2796,MgIIa,2796.35530,0.6155,262500000.0,,,MgIIa,M03 24Mg mass taken as 24.3
MgIIa_2803,MgIIa,2803.53240,0.3058,259500000.0,,,MgIIa,M03 24Mg
MgIIb_2796,MgIIb,2796.35110,0.6155,262500000.0,,,MgIIb,M03 25Mg mass taken as 24.3
MgIIb_2803,MgIIb,2803.52830,0.3058,259500000.0,,,MgIIb,M03 25Mg
MgIIc_2796,MgIIc,2796.34730,0.6155,262500000.0,,,MgIIc,M03 26Mg mass taken as 24.3
MgIIc_2803,MgIIc,2803.52440,0.3058,259500000.0,,,MgIIc,M03 26Mg
H2J7_1151,H2J7,1151.63838,0.000729867,1868000000.0,2.01588,-0.03451983,H2J7,! L 0 P(7) 2
H2J7_1134,H2J7,1134.89649,0.00256861,1741000000.0,2.01588,-0.02735538,H2J7,! L 1 P(7) 2
H2J6_1131,H2J6,1131.75362,0.000748072,1868000000.0,2.01588,-0.02857077,H2J6,! L 0 P(6) 2
H2J6_1125,H2J6,1125.72675,0.000656326,1868000000.0,2.01588,-0.02362649,H2J6,! L 0 R(6) 2
H2J5_1125,H2J5,1125.54069,0.000757692,1868000000.0,2.01588,-0.02329085,H2J5,"! L 0 P(5) 2 Bailly et al,2010,Mol Phys DOI:10.1080/00268970903413350"
H2J5_1120,H2J5,1120.40062,0.000715714,1868000000.0,2.01588,-0.0189545,H2J5,! L 0 R(5) 2 w: B10
H2J4_1120,H2J4,1120.24884,0.000755955,1868000000.0,2.01588,-0.01872438,H2J4,! L 0 P(4) 2 B10
H2J7_1119,H2J7,1119.02970,0.00517602,1632000000.0,2.01588,-0.02071215,H2J7,! L 2 P(7) 2
H2J4_1116,H2J4,1116.01462,0.000777988,1868000000.0,2.01588,-0.01507444,H2J4,! L 0 R(4) 2 B10
H2J3_1115,H2J3,1115.89553,0.000738064,1868000000.0,2.01588,-0.0149166,H2J3,! L 0 P(3) 1b B10
H2J6_1115,H2J6,1115.45638,0.00260431,1741000000.0,2.01588,-0.0214117,H2J6,! L 1 P(6) 2
H2J3_1112,H2J3,1112.58394,0.000846784,1868000000.0,2.01588,-0.01201537,H2J3,! L 0 R(3) 2 B10
H2J2_1112,H2J2,1112.49599,0.000691459,1868000000.0,2.01588,-0.01190946,H2J2,! L 0 P(2) 1b B10
H2J2_1110,H2J2,1110.12056,0.000932201,1868000000.0,2.01588,-0.00980419,H2J2,! L 0 R(2) 2 B10
H2J1_1110,H2J1,1110.06256,0.000573914,1868000000.0,2.01588,-0.00973852,H2J1,! L 0 P(1) 1a B10
H2J6_1109,H2J6,1109.86173,0.0025058,1741000000.0,2.01588,-0.01681549,H2J6,! L 1 R(6) 2
H2J5_1109,H2J5,1109.31324,0.00261585,1741000000.0,2.01588,-0.01612812,H2J5,! L 1 P(5) 1b B10
H2J1_1108,H2J1,1108.63324,0.001077,1868000000.0,2.01588,-0.00846231,H2J1,! L 0 R(1) 1a B10
H2J0_1108,H2J0,1108.12732,0.00166457,1868000000.0,2.01588,-0.00800319,H2J0,! L 0 R(0) 1a B10
H2J5_1104,H2J5,1104.54870,0.00267606,1741000000.0,2.01588,-0.01212508,H2J5,! L 1 R(5) 2 B10
H2J4_1104,H2J4,1104.08393,0.00259547,1741000000.0,2.01588,-0.01155644,H2J4,! L 1 P(4) 1b B10
H2J7_1103,H2J7,1103.98229,0.00784325,1536000000.0,2.01588,-0.01457227,H2J7,! L 3 P(7) 2
H2J4_1100,H2J4,1100.16453,0.0028543,1741000000.0,2.01588,-0.00820532,H2J4,! L 1 R(4) 2 B10
H2J6_1100,H2J6,1100.01998,0.00520974,1632000000.0,2.01588,-0.01478632,H2J6,! L 2 P(6) 1b
H2J3_1099,H2J3,1099.78718,0.00252569,1741000000.0,2.01588,-0.00774742,H2J3,! L 1 P(3) 1a B10
H2J3_1096,H2J3,1096.72532,0.00305571,1741000000.0,2.01588,-0.0050947,H2J3,! L 1 R(3) 1a B10
H2J2_1096,H2J2,1096.43891,0.00236713,1741000000.0,2.01588,-0.00474693,H2J2,! L 1 P(2) 1a B10
H2J6_1094,H2J6,1094.79916,0.00546325,1632000000.0,2.01588,-0.01049178,H2J6,! L 2 R(6) 2
H2J2_1094,H2J2,1094.24456,0.0033148,1741000000.0,2.01588,-0.00282772,H2J2,! L 1 R(2) 1a B10
H2J1_1094,H2J1,1094.05195,0.00196852,1741000000.0,2.01588,-0.00259287,H2J1,! L 1 P(1) 1a B10
H2J5_1093,H2J5,1093.95498,0.00520673,1632000000.0,2.01588,-0.00951288,H2J5,! L 2 P(5) 1b B10
H2J1_1092,H2J1,1092.73238,0.00378015,1741000000.0,2.01588,-0.0014317,H2J1,! L 1 R(1) 1a B10
H2J0_1092,H2J0,1092.19520,0.00578358,1741000000.0,2.01588,-0.00092454,H2J0,! L 1 R(0) 1a B10
H2J7_1089,H2J7,1089.70646,0.00994149,1450000000.0,2.01588,-0.0089176,H2J7,! L 4 P(7) 2
H2J5_1089,H2J5,1089.51319,0.00573951,1632000000.0,2.01588,-0.00579408,H2J5,! L 2 R(5) 2
H2J4_1088,H2J4,1088.79536,0.00515046,1632000000.0,2.01588,-0.00494895,H2J4,! L 2 P(4) 1b
H2J6_1085,H2J6,1085.38444,0.0078606,1536000000.0,2.01588,-0.00866755,H2J6,! L 3 P(6) 2
H2J4_1085,H2J4,1085.14554,0.00603064,1632000000.0,2.01588,-0.00184988,H2J4,! L 2 R(4) 1a
H2J3_1084,H2J3,1084.56035,0.00500946,1632000000.0,2.01588,-0.00114925,H2J3,! L 2 P(3) 1b
H2J3_1081,H2J3,1081.71124,0.00636247,1632000000.0,2.01588,0.00129543,H2J3,! L 2 R(3) 1a
H2J2_1081,H2J2,1081.26604,0.00469983,1632000000.0,2.01588,0.00183764,H2J2,! L 2 P(2) 1b
H2J6_1080,H2J6,1080.49476,0.00895452,1536000000.0,2.01588,-0.00464885,H2J6,! L 3 R(6) 2
H2J5_1079,H2J5,1079.40041,0.00783446,1536000000.0,2.01588,-0.00340979,H2J5,! L 3 P(5) 1b
H2J2_1079,H2J2,1079.22542,0.00681799,1632000000.0,2.01588,0.00360188,H2J2,! L 2 R(2) 1a
H2J1_1078,H2J1,1078.92547,0.00392257,1632000000.0,2.01588,0.00397218,H2J1,! L 2 P(1) 1a
H2J1_1077,H2J1,1077.69894,0.00769324,1632000000.0,2.01588,0.00503784,H2J1,! L 2 R(1) 1a
H2J0_1077,H2J0,1077.13874,0.0116679,1632000000.0,2.01588,0.0055822,H2J0,! L 2 R(0) 1a
H2J7_1076,H2J7,1076.15563,0.0111219,1370000000.0,2.01588,-0.00372739,H2J7,! L 5 P(7) 2
H2J5_1075,H2J5,1075.24406,0.00928142,1536000000.0,2.01588,5.478e-05,H2J5,! L 3 R(5) 2
H2J4_1074,H2J4,1074.31295,0.00774358,1536000000.0,2.01588,0.00114033,H2J4,! L 3 P(4) 1b
H2J6_1071,H2J6,1071.49882,0.0099386,1450000000.0,2.01588,-0.0030324,H2J6,! L 4 P(6) 2
H2J4_1070,H2J4,1070.90054,0.00962639,1536000000.0,2.01588,0.00401739,H2J4,! L 3 R(4) 2
H2J3_1070,H2J3,1070.14088,0.00753828,1536000000.0,2.01588,0.0049255,H2J3,! L 3 P(3) 1b
H2J3_1067,H2J3,1067.47855,0.0100421,1536000000.0,2.01588,0.00718891,H2J3,! L 3 R(3) 1a
H2J6_1066,H2J6,1066.90709,0.0123026,1450000000.0,2.01588,0.0007253,H2J6,! L 4 R(6) 2
H2J2_1066,H2J2,1066.90068,0.00709045,1536000000.0,2.01588,0.00789541,H2J2,! L 3 P(2) 1a
H2J5_1065,H2J5,1065.59662,0.00990006,1450000000.0,2.01588,0.00220871,H2J5,! L 4 P(5) 1b
H2J2_1064,H2J2,1064.99481,0.0106482,1536000000.0,2.01588,0.0095256,H2J2,! L 3 R(2) 1a
H2J1_1064,H2J1,1064.60539,0.00594138,1536000000.0,2.01588,0.01000951,H2J1,! L 3 P(1) 1a
H2J1_1063,H2J1,1063.46014,0.0119024,1536000000.0,2.01588,0.01099293,H2J1,! L 3 R(1) 1a
H2J7_1063,H2J7,1063.28883,0.0113078,1300000000.0,2.01588,0.00102254,H2J7,! L 6 P(7) 2
H2J0_1062,H2J0,1062.88214,0.0178952,1536000000.0,2.01588,0.01156759,H2J0,! L 3 R(0) 1a
H2J5_1061,H2J5,1061.69723,0.0126059,1450000000.0,2.01588,0.00543822,H2J5,! L 4 R(5) 2
H2J4_1060,H2J4,1060.58103,0.00979364,1450000000.0,2.01588,0.00674295,H2J4,! L 4 P(4) 1b
H2J6_1058,H2J6,1058.31838,0.0111122,1370000000.0,2.01588,0.00214153,H2J6,! L 5 P(6) 2
H2J4_1057,H2J4,1057.38074,0.0129372,1450000000.0,2.01588,0.00941815,H2J4,! L 4 R(4) 2
H2J3_1056,H2J3,1056.47144,0.00955567,1450000000.0,2.01588,0.01051153,H2J3,! L 4 P(3) 1b
H2J6_1053,H2J6,1053.99874,0.0150045,1370000000.0,2.01588,0.00564897,H2J6,! L 5 R(6) 2
H2J3_1053,H2J3,1053.97610,0.0133569,1450000000.0,2.01588,0.01261209,H2J3,! L 4 R(3) 1a
H2J2_1053,H2J2,1053.28427,0.00902223,1450000000.0,2.01588,0.01346322,H2J2,! L 4 P(2) 1b
H2J5_1052,H2J5,1052.49701,0.0110794,1370000000.0,2.01588,0.00736695,H2J5,! L 5 P(5) 1b
H2J2_1051,H2J2,1051.49857,0.0140303,1450000000.0,2.01588,0.01497399,H2J2,! L 4 R(2) 1a
H2J7_1051,H2J7,1051.07153,0.0104866,1200000000.0,2.01588,0.00535938,H2J7,! L 7 P(7) 2
H2J1_1051,H2J1,1051.03253,0.00760153,1450000000.0,2.01588,0.01555697,H2J1,! L 4 P(1) 1a
H2J1_1049,H2J1,1049.95976,0.0155494,1450000000.0,2.01588,0.01646751,H2J1,! L 4 R(1) 1a
H2J0_1049,H2J0,1049.36744,0.0231929,1450000000.0,2.01588,0.01706801,H2J0,! L 4 R(0) 1a
H2J5_1048,H2J5,1048.82995,0.0152277,1370000000.0,2.01588,0.01037564,H2J5,! L 5 R(5) 2
H2J4_1047,H2J4,1047.55187,0.0109902,1370000000.0,2.01588,0.01188511,H2J4,! L 5 P(4) 1b
H2J6_1045,H2J6,1045.80430,0.0113046,1300000000.0,2.01588,0.00687799,H2J6,! L 6 P(6) 2
H2J4_1044,H2J4,1044.54326,0.0154839,1370000000.0,2.01588,0.01437358,H2J4,! L 5 R(4) 2
H2J3_1043,H2J3,1043.50319,0.0107672,1370000000.0,2.01588,0.01563663,H2J3,! L 5 P(3) 1b
H2J6_1041,H2J6,1041.73282,0.0168443,1300000000.0,2.01588,0.0101463,H2J6,! L 6 R(6) 2
H2J3_1041,H2J3,1041.15892,0.0158464,1370000000.0,2.01588,0.01758824,H2J3,! L 5 R(3) 1a
H2J2_1040,H2J2,1040.36733,0.0102228,1370000000.0,2.01588,0.01856997,H2J2,! L 5 P(2) 1b
H2J5_1040,H2J5,1040.05868,0.0113034,1300000000.0,2.01588,0.01208886,H2J5,! L 6 P(5) 2
H2J7_1039,H2J7,1039.77370,0.000633991,1180000000.0,2.01588,-0.01356055,H2J7,! W 0 P(7) 2
H2J7_1039,H2J7,1039.21042,0.023255,1140000000.0,2.01588,-0.00116452,H2J7,! L 8 P(7) 2
H2J2_1038,H2J2,1038.69027,0.016503,1370000000.0,2.01588,0.01997239,H2J2,! L 5 R(2) 1a
H2J1_1038,H2J1,1038.15713,0.00866057,1370000000.0,2.01588,0.020644,H2J1,! L 5 P(1) 1a
H2J1_1037,H2J1,1037.14992,0.0181342,1370000000.0,2.01588,0.02148875,H2J1,! L 5 R(1) 1a
H2J5_1036,H2J5,1036.60457,0.0169652,1300000000.0,2.01588,0.01488993,H2J5,! L 6 R(5) 2
H2J0_1036,H2J0,1036.54581,0.0268337,1370000000.0,2.01588,0.02211196,H2J0,! L 5 R(0) 1a
H2J7_1035,H2J7,1035.42668,0.0239457,1180000000.0,2.01588,-0.02021825,H2J7,! W 0 Q(7) 2
H2J4_1035,H2J4,1035.18251,0.0112657,1300000000.0,2.01588,0.01659124,H2J4,! L 6 P(4) 2
H2J6_1033,H2J6,1033.91784,0.0104606,1200000000.0,2.01588,0.01120261,H2J6,! L 7 P(6) 2
H2J4_1032,H2J4,1032.35096,0.0171203,1300000000.0,2.01588,0.01890632,H2J4,! L 6 R(4) 2
H2J3_1031,H2J3,1031.19260,0.0111102,1300000000.0,2.01588,0.02032577,H2J3,! L 6 P(3) 1b
H2J6_1030,H2J6,1030.07357,0.017934,1200000000.0,2.01588,0.01424573,H2J6,! L 7 R(6) 2
H2J3_1028,H2J3,1028.98558,0.0173884,1300000000.0,2.01588,0.02214038,H2J3,! L 6 R(3) 2
H2J7_1028,H2J7,1028.41138,0.00875861,1070000000.0,2.01588,0.01290853,H2J7,! L 9 P(7) 2
H2J5_1028,H2J5,1028.24749,0.0104684,1200000000.0,2.01588,0.0163993,H2J5,! L 7 P(5) 2
H2J2_1028,H2J2,1028.10609,0.0106298,1300000000.0,2.01588,0.02324105,H2J2,! L 6 P(2) 1b
H2J2_1026,H2J2,1026.52808,0.0179656,1300000000.0,2.01588,0.02454448,H2J2,! L 6 R(2) 2
H2J1_1025,H2J1,1025.93517,0.0090943,1300000000.0,2.01588,0.02529614,H2J1,! L 6 P(1) 1a
H2J5_1024,H2J5,1024.98944,0.0180093,1200000000.0,2.01588,0.019007,H2J5,! L 7 R(5) 2
H2J1_1024,H2J1,1024.98790,0.0195752,1300000000.0,2.01588,0.02608105,H2J1,! L 6 R(1) 1a
H2J6_1024,H2J6,1024.73396,0.0119609,1180000000.0,2.01588,-0.01995118,H2J6,! W 0 P(6) 2
H2J0_1024,H2J0,1024.37395,0.0287085,1300000000.0,2.01588,0.02672449,H2J0,! L 6 R(0) 1a
H2J4_1023,H2J4,1023.43680,0.0104924,1200000000.0,2.01588,0.0208859,H2J4,! L 7 P(4) 1b
H2J6_1022,H2J6,1022.58592,0.0125592,1140000000.0,2.01588,0.01498634,H2J6,! L 8 P(6) 2
H2J6_1021,H2J6,1021.20946,0.0239051,1180000000.0,2.01588,-0.01674587,H2J6,! W 0 Q(6) 2
H2J5_1020,H2J5,1020.79915,0.0127454,1180000000.0,2.01588,-0.01647897,H2J5,! W 0 P(5) 1b
H2J4_1020,H2J4,1020.76665,0.0181358,1200000000.0,2.01588,0.02304091,H2J4,! L 7 R(4) 2
H2J3_1019,H2J3,1019.50224,0.0104758,1200000000.0,2.01588,0.02460346,H2J3,! L 7 P(3) 1b
H2J6_1019,H2J6,1019.01893,0.0204951,1140000000.0,2.01588,0.01766495,H2J6,! L 8 R(6) 2
H2J7_1017,H2J7,1017.97652,0.00373993,1030000000.0,2.01588,0.01492525,H2J7,! L 10 P(7) 2
H2J5_1017,H2J5,1017.83200,0.0238871,1180000000.0,2.01588,-0.01364833,H2J5,! W 0 Q(5) 2
H2J3_1017,H2J3,1017.42315,0.0183845,1200000000.0,2.01588,0.02629246,H2J3,! L 7 R(3) 2
H2J4_1017,H2J4,1017.38554,0.0122766,1180000000.0,2.01588,-0.01330997,H2J4,! W 0 P(4) 1b
H2J5_1017,H2J5,1017.00429,0.0112202,1140000000.0,2.01588,0.02029474,H2J5,! L 8 P(5) 1b
H2J6_1016,H2J6,1016.74328,0.00570076,1180000000.0,2.01588,-0.01232471,H2J6,! W 0 R(6) 2
H2J2_1016,H2J2,1016.46125,0.0102323,1200000000.0,2.01588,0.02750099,H2J2,! L 7 P(2) 1b
H2J7_1015,H2J7,1015.74968,0.0270703,1159000000.0,2.01588,-0.01223158,H2J7,! W 1 P(7) 2
H2J4_1014,H2J4,1014.98006,0.0238617,1180000000.0,2.01588,-0.01097807,H2J4,! W 0 Q(4) 2
H2J2_1014,H2J2,1014.97685,0.0189365,1200000000.0,2.01588,0.02871411,H2J2,! L 7 R(2) 1a
H2J3_1014,H2J3,1014.50423,0.011105,1180000000.0,2.01588,-0.01056398,H2J3,! W 0 P(3) 1a
H2J1_1014,H2J1,1014.32724,0.00898222,1200000000.0,2.01588,0.02953792,H2J1,! L 7 P(1) 1a
H2J5_1014,H2J5,1014.24249,0.0229175,1180000000.0,2.01588,0.00022003,H2J5,! W 0 R(5) 2
H2J5_1013,H2J5,1013.70652,0.00116013,1140000000.0,2.01588,0.01243063,H2J5,! L 8 R(5) 2
H2J1_1013,H2J1,1013.43701,0.0205043,1200000000.0,2.01588,0.03026841,H2J1,! L 7 R(1) 1a
H2J0_1012,H2J0,1012.81303,0.029702,1200000000.0,2.01588,0.03092982,H2J0,! L 7 R(0) 1a
H2J3_1012,H2J3,1012.67958,0.0238304,1180000000.0,2.01588,-0.00878174,H2J3,! W 0 Q(3) 1a
H2J4_1012,H2J4,1012.26242,0.0107544,1140000000.0,2.01588,0.02479431,H2J4,! L 8 P(4) 1b
H2J2_1012,H2J2,1012.16942,0.00878387,1180000000.0,2.01588,-0.00830958,H2J2,! W 0 P(2) 1a
H2J7_1012,H2J7,1012.13455,0.0367154,1159000000.0,2.01588,-0.01016654,H2J7,! W 1 Q(7) 2
H2J6_1011,H2J6,1011.87123,0.00864503,1070000000.0,2.01588,0.01872364,H2J6,! L 9 P(6) 2
H2J4_1011,H2J4,1011.81391,0.0118774,1180000000.0,2.01588,-0.00782388,H2J4,! W 0 R(4) 2
H2J2_1010,H2J2,1010.93845,0.0238098,1180000000.0,2.01588,-0.00709859,H2J2,! W 0 Q(2) 1a
H2J3_1010,H2J3,1010.13025,0.0111813,1180000000.0,2.01588,-0.00631306,H2J3,! W 0 R(3) 1a
H2J1_1009,H2J1,1009.77088,0.0238007,1180000000.0,2.01588,-0.00595909,H2J1,! W 0 Q(1) 1a
H2J4_1009,H2J4,1009.71963,0.0141081,1140000000.0,2.01588,0.02664915,H2J4,! L 8 R(4) 2
H2J2_1009,H2J2,1009.02492,0.0116636,1180000000.0,2.01588,-0.00524664,H2J2,! W 0 R(2) 1a
H2J0_1008,H2J0,1008.55192,0.0153493,1180000000.0,2.01588,-0.00476718,H2J0,! W 0 R(0) 1a
H2J1_1008,H2J1,1008.49818,0.0128722,1180000000.0,2.01588,-0.00471844,H2J1,! W 0 R(1) 1a
H2J6_1008,H2J6,1008.42891,0.0164072,1070000000.0,2.01588,0.02137208,H2J6,! L 9 R(6) 2
H2J3_1008,H2J3,1008.38615,0.0104293,1140000000.0,2.01588,0.02849467,H2J3,! L 8 P(3) 1a
H2J3_1006,H2J3,1006.41416,0.0157143,1140000000.0,2.01588,0.03004038,H2J3,! L 8 R(3) 1a
H2J5_1006,H2J5,1006.34318,0.00863341,1070000000.0,2.01588,0.02388888,H2J5,! L 9 P(5) 1b
H2J2_1005,H2J2,1005.39320,0.00991071,1140000000.0,2.01588,0.03137464,H2J2,! L 8 P(2) 1a
H2J2_1003,H2J2,1003.98545,0.0166161,1140000000.0,2.01588,0.03250586,H2J2,! L 8 R(2) 1a
H2J5_1003,H2J5,1003.42840,0.0164978,1070000000.0,2.01588,0.02615952,H2J5,! L 9 R(5) 2
H2J1_1003,H2J1,1003.29662,0.00846599,1140000000.0,2.01588,0.03339412,H2J1,! L 8 P(1) 1a
H2J1_1002,H2J1,1002.45210,0.0182317,1140000000.0,2.01588,0.03407534,H2J1,! L 8 R(1) 1a
H2J6_1001,H2J6,1001.91171,0.000262827,1030000000.0,2.01588,0.00917942,H2J6,! L 10 P(6) 2
H2J0_1001,H2J0,1001.82387,0.0267679,1140000000.0,2.01588,0.03475253,H2J0,! L 8 R(0) 1a
H2J4_1001,H2J4,1001.65573,0.00869116,1070000000.0,2.01588,0.0283418,H2J4,! L 9 P(4) 1b
H2J6_1001,H2J6,1001.20812,0.0305349,1159000000.0,2.01588,0.00337501,H2J6,! W 1 P(6) 2
H2J4_999,H2J4,999.27150,0.0165603,1070000000.0,2.01588,0.03021901,H2J4,! L 9 R(4) 2
H2J6_998,H2J6,998.42833,0.0178819,1030000000.0,2.01588,0.02399851,H2J6,! L 10 R(6) 2
H2J6_998,H2J6,998.33394,0.0366674,1159000000.0,2.01588,-0.0064819,H2J6,! W 1 Q(6) 2
H2J7_998,H2J7,998.11183,0.00712953,987000000.0,2.01588,0.01913197,H2J7,! L 11 P(7) 1b
H2J3_997,H2J3,997.82718,0.00876095,1070000000.0,2.01588,0.03202454,H2J3,! L 9 P(3) 1b
H2J5_997,H2J5,997.64137,0.0151938,1159000000.0,2.01588,-0.00470129,H2J5,! W 1 P(5) 1b
H2J5_996,H2J5,996.12472,0.0127433,1030000000.0,2.01588,0.02610094,H2J5,! L 10 P(5) 1b
H2J3_995,H2J3,995.97278,0.0166863,1070000000.0,2.01588,0.03349627,H2J3,! L 9 R(3) 1a
H2J5_994,H2J5,994.92438,0.0366104,1159000000.0,2.01588,-0.00320842,H2J5,! W 1 Q(5) 2
H2J2_994,H2J2,994.87408,0.00865918,1070000000.0,2.01588,0.03488711,H2J2,! L 9 P(2) 1b
H2J7_994,H2J7,994.45410,0.0227604,1159000000.0,2.01588,-0.00417212,H2J7,! W 2 P(7) 2
H2J6_994,H2J6,994.26049,0.0115345,1159000000.0,2.01588,-0.00231093,H2J6,! W 1 R(6) 2
H2J4_994,H2J4,994.22993,0.0170007,1159000000.0,2.01588,-0.00228095,H2J4,! W 1 P(4) 1b
H2J2_993,H2J2,993.55061,0.0170432,1070000000.0,2.01588,0.03594442,H2J2,! L 9 R(2) 1a
H2J5_993,H2J5,993.49192,0.0201634,1030000000.0,2.01588,0.02801621,H2J5,! L 10 R(5) 2
H2J1_992,H2J1,992.80968,0.00769885,1070000000.0,2.01588,0.03688977,H2J1,! L 9 P(1) 1a
H2J4_992,H2J4,992.05077,0.0365615,1159000000.0,2.01588,-0.0003959,H2J4,! W 1 Q(4) 2
H2J1_992,H2J1,992.01637,0.0182598,1070000000.0,2.01588,0.03752654,H2J1,! L 9 R(1) 1a
H2J6_991,H2J6,991.91575,0.00683092,987000000.0,2.01588,0.02490619,H2J6,! L 11 P(6) 1b
H2J4_991,H2J4,991.53385,0.00991957,1030000000.0,2.01588,0.03138155,H2J4,! L 10 P(4) 1b
H2J3_991,H2J3,991.38046,0.0159986,1159000000.0,2.01588,0.00039069,H2J3,! W 1 P(3) 1a
H2J0_991,H2J0,991.37891,0.0261242,1070000000.0,2.01588,0.03821743,H2J0,! L 9 R(0) 1a
H2J5_991,H2J5,991.37080,0.00944833,1159000000.0,2.01588,0.00122097,H2J5,! W 1 R(5) 2
H2J7_991,H2J7,991.16345,0.0353107,1139000000.0,2.01588,-0.00182201,H2J7,! W 2 Q(7) 2
H2J3_989,H2J3,989.72929,0.0365227,1159000000.0,2.01588,0.00191129,H2J3,! W 1 Q(3) 1a
H2J4_989,H2J4,989.55727,0.0310766,1030000000.0,2.01588,0.02068108,H2J4,! L 10 R(4) 2
H2J7_989,H2J7,989.31987,0.00595954,912000000.0,2.01588,0.02417375,H2J7,! L 13 P(7) 2
H2J2_989,H2J2,989.08839,0.0129261,1159000000.0,2.01588,0.00259876,H2J2,! W 1 P(2) 1a
H2J4_988,H2J4,988.87092,0.000740979,1159000000.0,2.01588,0.0149398,H2J4,! W 1 R(4) 2
H2J7_988,H2J7,988.83833,0.00358014,948000000.0,2.01588,0.02121293,H2J7,! L 12 P(7) 1b
H2J6_988,H2J6,988.81351,0.0122149,987000000.0,2.01588,0.02724831,H2J6,! L 11 R(6) 2
H2J2_987,H2J2,987.97445,0.0364958,1159000000.0,2.01588,0.00367586,H2J2,! W 1 Q(2) 1a
H2J3_987,H2J3,987.76882,0.00892793,1030000000.0,2.01588,0.03515959,H2J3,! L 10 P(3) 1a
H2J3_987,H2J3,987.44863,0.0207847,1159000000.0,2.01588,0.00511604,H2J3,! W 1 R(3) 1a
H2J1_986,H2J1,986.79800,0.0364673,1159000000.0,2.01588,0.0048688,H2J1,! W 1 Q(1) 1a
H2J5_986,H2J5,986.52074,0.00671492,987000000.0,2.01588,0.03003235,H2J5,! L 11 P(5) 1b
H2J2_986,H2J2,986.24406,0.0195224,1159000000.0,2.01588,0.00551177,H2J2,! W 1 R(2) 1a
H2J3_985,H2J3,985.96279,0.00827655,1030000000.0,2.01588,0.03558931,H2J3,! L 10 R(3) 1a
H2J1_985,H2J1,985.64427,0.020708,1159000000.0,2.01588,0.0060404,H2J1,! W 1 R(1) 1a
H2J0_985,H2J0,985.63371,0.0240614,1159000000.0,2.01588,0.00602255,H2J0,! W 1 R(0) 1a
H2J2_984,H2J2,984.86398,0.00817085,1030000000.0,2.01588,0.03806275,H2J2,! L 10 P(2) 1a
H2J5_983,H2J5,983.89896,0.0126202,987000000.0,2.01588,0.0320365,H2J5,! L 11 R(5) 1a
H2J2_983,H2J2,983.59106,0.0115741,1030000000.0,2.01588,0.03888367,H2J2,! L 10 R(2) 1a
H2J1_982,H2J1,982.83533,0.0068112,1030000000.0,2.01588,0.0400493,H2J1,! L 10 P(1) 1a
H2J6_982,H2J6,982.72683,0.00257392,948000000.0,2.01588,0.0263445,H2J6,! L 12 P(6) 1b
