name,ion,rest_wavelength_angstrom,oscillator_strength,damping_constant_s,atomic_mass_amu,q_coefficient_cminv,group,reference
ZnII_2026,ZnII,2026.13709,0.501,407000000.0,65.39,2479.0,ZnII,"M03g w:MN,300,131 f=0.630 5.12E8 APJ804..."
GaII_1414,GaII,1414.40200,1.77,1970000000.0,69.723,,GaII,M03g
GeII_1602,GeII,1602.48630,0.144,1060000000.0,72.61,,GeII,M01g abund=115
GeII_1237,GeII,1237.05910,1.23,2680000000.0,72.61,,GeII,M01
GeII_1164,GeII,1164.27200,0.28,1380000000.0,72.61,,GeII,M01
AsII_1263,AsII,1263.77000,0.259,361000000.0,74.92,,AsII,M00 Aki
AsII_1207,AsII,1207.44900,0.0234,35600000.0,74.92,,AsII,M00 Aki
AsII_1181,AsII,1181.53800,0.0309,49200000.0,74.92,,AsII,M00 Aki
SeI_1530,SeI,1530.45700,0.26,528000000.0,78.96,,SeI,M01 abund 67
SeI_1405,SeI,1405.38200,0.105,254000000.0,78.96,,SeI,M01
SeI_1353,SeI,1353.89900,0.0503,131000000.0,78.96,,SeI,M01
SeII_1049,SeII,1049.64800,0.0823,996000000.0,,,SeII,M01
SeII_1033,SeII,1033.55600,0.165,1030000000.0,,,SeII,M01
SeII_1013,SeII,1013.43400,0.263,1140000000.0,,,SeII,M01
BrI_1540,BrI,1540.66100,0.0771,239000000.0,79.9,,BrI,M00
BrI_1488,BrI,1488.45900,0.0669,222000000.0,79.9,,BrI,M00
KrI_1235,KrI,1235.83800,0.204,298000000.0,83.8,,KrI,M01g abund 47
KrI_1164,KrI,1164.86720,0.188,309000000.0,83.8,,KrI,M01g
SrI_4608,SrI,4608.61700,2.01,210000000.0,87.62,,SrI,M01g abund 27
SrI_2570,SrI,2570.23800,0.0166,221000000.0,87.62,,SrI,M01g
SrI_2428,SrI,2428.82800,0.0468,183000000.0,87.62,,SrI,M01g
SrI_2355,SrI,2355.02900,0.0479,19200000.0,87.62,,SrI,M01
SrI_2307,SrI,2307.97400,0.0288,12000000.0,87.62,,SrI,M01
SrII_4216,SrII,4216.70700,0.334,135000000.0,,,SrII,M01g
SrII_4078,SrII,4078.86100,0.701,150000000.0,,,SrII,M01g
SrII_1793,SrII,1793.08800,0.0056,100000000.0,,,SrII,M01 f Kurucz
SrII_1783,SrII,1783.87000,0.00069,100000000.0,,,SrII,M01 f Kurucz
YII_3112,Y II,3112.93200,0.00654,348000000.0,88.91,,YII,M00
ZrII_3573,ZrII,3573.48790,0.167,100000000.0,91.22,,ZrII,M01 f Kurucz abund=6.8
ZrII_3389,ZrII,3389.26750,0.065,100000000.0,91.22,,ZrII,M01 f Kurucz
ZrII_3358,ZrII,3358.22630,0.046,100000000.0,91.22,,ZrII,M01 f Kurucz
ZrII_3273,ZrII,3273.16510,0.05,100000000.0,91.22,,ZrII,M01 f Kurucz
ZrII_3285,ZrII,3285.65810,0.083,100000000.0,91.22,,ZrII,M01 f Kurucz
ZrII_3209,ZrII,3209.24010,0.01,100000000.0,91.22,,ZrII,M01 f Kurucz
ZrII_2762,ZrII,2762.69300,0.01,100000000.0,91.22,,ZrII,Kurucz
ZrII_2759,ZrII,2759.60700,0.091,100000000.0,91.22,,ZrII,Kurucz
ZrII_2743,ZrII,2743.34900,0.204,100000000.0,91.22,,ZrII,Kurucz
ZrII_2712,ZrII,2712.30600,0.049,100000000.0,91.22,,ZrII,Kurucz
ZrII_2568,ZrII,2568.42400,0.135,100000000.0,91.22,,ZrII,Kurucz
ZrII_2551,ZrII,2551.51800,0.05,100000000.0,91.22,,ZrII,Kurucz
ZrIII_1798,ZrIII,1798.04800,0.178,613000000.0,,,ZrIII,M01
NbII_2866,NbII,2866.45200,0.0603,175000000.0,92.91,,NbII,M00
NbII_2668,NbII,2668.08800,0.0955,323000000.0,92.91,,NbII,M00
RuII_1888,RuII,1888.04300,0.0293,256000000.0,101.07,,RuII,M00
PdII_1403,PdII,1403.55200,0.0328,83400000.0,106.42,,PdII,M00 Aki
PdII_1367,PdII,1367.70000,0.0712,254000000.0,106.42,,PdII,M00 Aki
PdII_1374,PdII,1374.84300,0.036,127000000.0,106.42,,PdII,M00 Aki
PdII_1320,PdII,1320.01800,0.122,468000000.0,106.42,,PdII,M00 Aki
PdII_1235,PdII,1235.19100,0.04,262000000.0,106.42,,PdII,M00 Aki
PdII_1218,PdII,1218.61800,0.0585,263000000.0,106.42,,PdII,M00 Aki
PdII_1203,PdII,1203.96000,0.132,454000000.0,106.42,,PdII,M00 Aki
AgII_1195,AgII,1195.88300,0.0369,345000000.0,107.87,,AgII,M00
AgII_1112,AgII,1112.48300,0.429,1200000000.0,107.87,,AgII,M00
AgII_1107,AgII,1107.07200,0.382,1090000000.0,107.87,,AgII,M00
CdII_2265,CdII,2265.71520,0.247,321000000.0,112.41,,CdII,M00
CdII_2145,CdII,2145.06970,0.498,361000000.0,112.41,,CdII,M00
SnII_1400,SnII,1400.45000,1.09,100000000.0,118.0,,SnII,! f:Andersen/Lindgard JPhysB_10_2359_1977 ab=3.6
HgII_1649,HgII,1649.94700,0.83,100000000.0,200.0,,HgII,Kurucz ab=0.4
PbII_1433,PbII,1433.90500,0.87,100000000.0,206.0,,PbII,Kurucz ab=4
C12I**_1658,C12I**,1658.12055,0.0371,361000000.0,12.0,,C12I**,Haridass&Huber94 f M03 1658.1206 Lai/Ubachs..20 w:Haris Kraisa ApJS17
C12I*_1657,C12I*,1657.90651,0.0494,360000000.0,,,C12I*,HH Lai 1657.9068
C12I*_1657,C12I*,1657.37864,0.0371,360000000.0,,,C12I*,HH L 1657.3788
C12I**_1657,C12I**,1657.00751,0.111,361000000.0,12.0,,C12I**,HH Elow=43.414/cm L 1657.0077
C12I_1656,C12I,1656.92781,0.149,360000000.0,,,C12I,HH L 1656.9277
C12I*_1656,C12I*,1656.26659,0.0621,361000000.0,,,C12I*,HH Elow=16.417 /cm L 1656.2667
C12I**_1561,C12I**,1561.43752,0.0649,127000000.0,12.0,,C12I**,HH M03 g
C12I**_1561,C12I**,1561.36611,0.000772,127000000.0,12.0,,C12I**,HH M03 g
C12I**_1561,C12I**,1561.33942,0.0116,127000000.0,12.0,,C12I**,HH M03 g
C12I*_1560,C12I*,1560.70824,0.0193,127000000.0,,,C12I*,HH M03g
C12I*_1560,C12I*,1560.68158,0.0581,127000000.0,,,C12I*,HH M03g
C12I_1560,C12I,1560.30846,0.0774,127000000.0,,,C12I,HH M03g-3u
C12I**_1329,C12I**,1329.60013,0.0189,288000000.0,12.0,,C12I**,HH M03g
C12I**_1329,C12I**,1329.57729,0.0569,287000000.0,12.0,,C12I**,HH M03g
C12I*_1329,C12I*,1329.12305,0.0191,288000000.0,,,C12I*,HH M03g
C12I*_1329,C12I*,1329.10022,0.0313,287000000.0,,,C12I*,HH M03g
C12I*_1329,C12I*,1329.08475,0.0254,289000000.0,,,C12I*,HH M03g
C12I_1328,C12I,1328.83276,0.0758,288000000.0,,,C12I,HH M03g-4u
C12I**_1288,C12I**,1288.05527,2.01e-05,80900.0,12.0,,C12I**,M03 Aki
C12I*_1287,C12I*,1287.60753,6.03e-05,146000.0,,,C12I*,M03 Aki
C12I**_1280,C12I**,1280.84663,0.00522,106000000.0,12.0,,C12I**,M03g
C12I*_1280,C12I*,1280.59692,0.00704,105000000.0,,,C12I*,M03g
C12I*_1280,C12I*,1280.40388,0.0044,106000000.0,,,C12I*,M03g
C12I**_1280,C12I**,1280.33276,0.0152,117000000.0,12.0,,C12I**,M03g
C12I_1280,C12I,1280.13479,0.0263,106000000.0,,,C12I,M03g-5u
C12I*_1279,C12I*,1279.89037,0.0143,117000000.0,,,C12I*,M03g
C12I**_1279,C12I**,1279.49757,0.000456,1860000.0,12.0,,C12I**,M03 Aki
C12I**_1279,C12I**,1279.22834,0.00214,6240000.0,12.0,,C12I**,M03 Aki
C12I*_1279,C12I*,1279.05575,0.000708,1730000.0,,,C12I*,M03-6u
C12I**_1277,C12I**,1277.95365,0.000817,232000000.0,12.0,,C12I**,M03g
C12I**_1277,C12I**,1277.72286,0.0153,246000000.0,12.0,,C12I**,M03g
C12I**_1277,C12I**,1277.54951,0.0763,244000000.0,12.0,,C12I**,M03g
C12I*_1277,C12I*,1277.51290,0.021,232000000.0,,,C12I*,M03g
C12I*_1277,C12I*,1277.28227,0.0666,246000000.0,,,C12I*,M03g
C12I_1277,C12I,1277.24503,0.0853,232000000.0,,,C12I,M03g-7u
C12I**_1277,C12I**,1277.19002,0.000322,2200000.0,12.0,,C12I**,M03
C12I*_1276,C12I*,1276.74980,0.00308,12600000.0,,,C12I*,M03
C12I_1276,C12I,1276.48225,0.00589,8030000.0,,,C12I,M03-7.01u -
C12I**_1270,C12I**,1270.84370,1.45e-08,99.7,12.0,,C12I**,M03 Aki
C12I*_1270,C12I*,1270.40784,4.51e-05,186000.0,,,C12I*,M03 Aki
C12I_1270,C12I,1270.14294,0.000386,531000.0,,,C12I,M03-8.01u Aki
C12I**_1261,C12I**,1261.55181,0.0391,236000000.0,12.0,,C12I**,M03g
C12I**_1261,C12I**,1261.42544,0.0131,240000000.0,12.0,,C12I**,M03g
C12I*_1261,C12I*,1261.12230,0.0202,236000000.0,,,C12I*,M03g
C12I*_1260,C12I*,1260.99601,0.0134,240000000.0,,,C12I*,M03g
C12I*_1260,C12I*,1260.92638,0.0175,241000000.0,,,C12I*,M03g
